location,topic,users,season,доступность,,,INT комментарий
Лабынкыр,EXT,LUX,W,,,,погружение
Лабынкыр,ECO,EU+JAP,A,,,,
Лабынкыр,ECO,RUS,A,,,,
Лабынкыр,OYM,EU+JAP,W,,,,
Лабынкыр,OYM,RUS,W,,,,
,,,,,,,
Тополиное,GUL,RUS,W,,,,
Тополиное,GUL,RUS,S,,,,
Тополиное,GUL,EU+JAP,W,,,,
Тополиное,GUL,EU+JAP,S,,,,
,,,,,,,
Хандыга,GUL,RUS,A,,,,
Хандыга,GUL,EU+JAP,A,,,,
Хандыга,GUL,CHINA,W,,,,
,,,,,,,
Русское Устье,EXT,LUX,A,,,,проверить сезон
,,,,,,,
Тёплый ключ,GUL,RUS,A,,,,
Тёплый ключ,GUL,EU+JAP,A,,,,
,,,,,,,
Усть-Нера,GUL,RUS,W,,,,
Усть-Нера,GUL,RUS,S,,,,
Усть-Нера,GUL,EU+JAP,W,,,,
Усть-Нера,GUL,EU+JAP,S,,,,
,,,,,,,
Кольский полуостров,EXT,LUX,A,,,,
,,,,,,,
Усть-Ленский заповедник,EXT,LUX,A,,,,
,,,,,,,
Джебарики-Хая,GUL,SPEC,A,,,,"неподтвержденные \ неочевидные артфекаты, которые требуется обнаружить во время экспедиций"
Делянкир,GUL,SPEC,A,,,,Вопрос: зимой обнаружение артфекатов возможно?
Куранах-Сала,GUL,SPEC,A,,,,
Ольчанский перевал,GUL,SPEC,A,,,,
Бутугычаг,GUL,SPEC,A,,,,
Днепровский рудник,GUL,SPEC,A,,,,
Ытык-Кюель,GUL,SPEC,A,,,,
Карамкен,GUL,SPEC,A,,,,
Зырянка (Зырянлаг),GUL,SPEC,A,,,,
Алданский (ИТЛ),GUL,SPEC,A,,,,
Чульман (Немнырлаг),GUL,SPEC,A,,,,
,,,,,,,
Оймяконские кисиляхи,ECO,EU+JAP,S,,,,
Оймяконские кисиляхи,ECO,RUS,S,,,,
Оймяконские кисиляхи,ECO,SPEC,S,,,,
,,,,,,,
Ючюгей,OYM,EU+JAP,S,,,,
Ючюгей,OYM,EU+JAP,W,,,,
Ючюгей,OYM,RUS,S,,,,
Ючюгей,OYM,RUS,W,,,,
Ючюгей,OYM,SOLO,S,,,,
Ючюгей,OYM,SOLO,W,,,,
Ючюгей,OYM,LUX,A,,,,
,,,,,,,
река Куйдусун,ECO,EU+JAP,S,"пеший, джип, водный",,,
река Куйдусун,ECO,EU+JAP,W,,,,
река Куйдусун,ECO,RUS,S,"пеший, джип, водный",,,
река Куйдусун,ECO,RUS,W,,,,
река Куйдусун,ECO,CHINA,S,"пеший, джип, водный",,,
река Куйдусун,ECO,CHINA,W,,,,
река Куйдусун,ECO,SOLO,S,"пеший, джип, водный",,,
река Куйдусун,ECO,SOLO,W,,,,
река Куйдусун,OYM,EU+JAP,W,,,,
река Куйдусун,OYM,RUS,W,,,,
река Куйдусун,OYM,CHINA,W,,,,
река Куйдусун,OYM,SOLO,W,,,,в случае организованного зимника
,,,,,,,
у реки Беппей,ECO,RUS,S,водный,,,
