location,topic,users,season,доступность,,,INT комментарий
Лабынкыр,EXT,LUX,W,,,,
Лабынкыр,ECO,EU+JAP,W,,,,
Лабынкыр,ECO,EU+JAP,S,,,,
Лабынкыр,ECO,EU+JAP,MID,,,,
Лабынкыр,ECO,RUS,W,,,,
Лабынкыр,ECO,RUS,S,,,,
Лабынкыр,ECO,RUS,MID,,,,
Лабынкыр,OYM,EU+JAP,W,,,,
Лабынкыр,OYM,RUS,W,,,,
,,,,,,,
Тополиное,GUL,RUS,W,,,,
Тополиное,GUL,RUS,S,,,,
Тополиное,GUL,EU+JAP,W,,,,
Тополиное,GUL,EU+JAP,S,,,,
,,,,,,,
Хандыга,GUL,RUS,W,,,,
Хандыга,GUL,RUS,S,,,,
Хандыга,GUL,RUS,MID,,,,
Хандыга,GUL,EU+JAP,W,,,,
Хандыга,GUL,EU+JAP,S,,,,
Хандыга,GUL,EU+JAP,MID,,,,
Хандыга,GUL,CHINA,W,,,,
,,,,,,,
Русское Устье,EXT,LUX,W,,,,проверить сезон
Русское Устье,EXT,LUX,S,,,,проверить сезон
,,,,,,,
Тёплый ключ,GUL,RUS,W,,,,
Тёплый ключ,GUL,RUS,S,,,,
Тёплый ключ,GUL,EU+JAP,W,,,,
Тёплый ключ,GUL,EU+JAP,S,,,,
,,,,,,,
Усть-Нера,GUL,RUS,W,,,,
Усть-Нера,GUL,RUS,S,,,,
Усть-Нера,GUL,EU+JAP,W,,,,
Усть-Нера,GUL,EU+JAP,S,,,,
,,,,,,,
Кольский полуостров,EXT,LUX,W,,,,
Кольский полуостров,EXT,LUX,S,,,,
,,,,,,,
Усть-Ленский заповедник,EXT,LUX,W,,,,
Усть-Ленский заповедник,EXT,LUX,S,,,,
,,,,,,,
Джебарики-Хая,GUL,SPEC,A,,,,"неподтвержденные \ неочевидные артфекаты, которые требуется обнаружить во время экспедиций"
Делянкир,GUL,SPEC,A,,,,Вопрос: зимой обнаружение артфекатов возможно?
Куранах-Сала,GUL,SPEC,A,,,,
Ольчанский перевал,GUL,SPEC,A,,,,
Бутугычаг,GUL,SPEC,A,,,,
Днепровский рудник,GUL,SPEC,A,,,,
Ытык-Кюель,GUL,SPEC,A,,,,
Карамкен,GUL,SPEC,A,,,,
Зырянка (Зырянлаг),GUL,SPEC,A,,,,
Алданский (ИТЛ),GUL,SPEC,A,,,,
Чульман (Немнырлаг),GUL,SPEC,A,,,,
Старая Колыма,,,A,,,,
,,,,,,,
Усть-нера кисиляхи,ECO,EU+JAP,S,,,,
Усть-нера кисиляхи,ECO,RUS,S,,,,
Усть-нера кисиляхи,ECO,SPEC,S,,,,
,,,,,,,
Ючюгей,OYM,EU+JAP,S,,,,
Ючюгей,OYM,EU+JAP,W,,,,
Ючюгей,OYM,RUS,S,,,,
Ючюгей,OYM,RUS,W,,,,
Ючюгей,OYM,SOLO,S,,,,
Ючюгей,OYM,SOLO,W,,,,
Ючюгей,OYM,LUX,S,,,,
Ючюгей,OYM,LUX,W,,,,
Ючюгей,OYM,LUX,MID,,,,
,,,,,,,
река Куйдусун,ECO,EU+JAP,S,"пеший, джип, водный",,,
река Куйдусун,ECO,EU+JAP,W,,,,
река Куйдусун,ECO,RUS,S,"пеший, джип, водный",,,
река Куйдусун,ECO,RUS,W,,,,
река Куйдусун,ECO,CHINA,S,"пеший, джип, водный",,,
река Куйдусун,ECO,CHINA,W,,,,
река Куйдусун,ECO,SOLO,S,"пеший, джип, водный",,,
река Куйдусун,ECO,SOLO,W,,,,
река Куйдусун,OYM,EU+JAP,W,,,,
река Куйдусун,OYM,RUS,W,,,,
